1234,255
1111,244
0,221
1212,212
7777,203
1004,199
2000,199
4444,196
2222,195
6969,195
9999,192
3333,191
5555,19
6666,19
1122,188
1313,185
8888,185
2001,184
4321,184
1010,183
909,181
2580,18
7,179
1818,178
1230,177
1984,175
1986,175
70,174
1985,174
987,173
1000,173
1231,173
1987,173
1999,173
2468,173
2002,172
2323,172
123,171
1123,17
1233,17
1357,17
1221,169
1324,169
1988,169
2112,169
2121,169
5150,169
1024,168
1112,168
1224,168
1969,168
1225,167
1235,167
1982,167
1983,167
1001,166
1978,166
1979,166
7410,166
1020,165
1223,165
1974,164
1975,164
1977,164
1980,164
1981,164
1029,163
1121,163
1213,163
1973,163
1976,163
2020,163
2345,163
2424,163
2525,163
1515,162
1970,162
1972,162
1989,162
1,161
1023,161
1414,161
9876,161
101,16
907,16
1245,16
1966,16
1967,16
1971,16
8520,16
1964,159
1968,159
4545,159
1318,158
5678,158
1011,157
1124,157
1211,157
1963,157
4200,157
4567,157
1007,156
1012,156
1025,156
1120,156
1125,156
1214,156
1236,156
1965,156
7942,156
1028,155
1209,155
1227,155
3535,155
7890,155
420,154
1210,154
1222,154
1701,154
1919,154
5425,154
1113,153
1226,153
1717,153
1957,153
1959,153
1990,153
5252,153
202,152
1002,152
1003,152
1114,152
1205,152
1215,152
1220,152
1228,152
1956,152
1962,152
3232,152
124,151
303,151
505,151
815,151
1013,151
1014,151
1021,151
1022,151
1027,151
1030,151
1101,151
1128,151
1133,151
1945,151
1955,151
1960,151
3030,151
3210,151
5050,151
9090,151
77,15
1092,15
1126,15
1130,15
1204,15
1005,149
1009,149
1031,149
1104,149
1115,149
1117,149
1119,149
1127,149
1203,149
1217,149
1218,149
1379,149
1958,149
3434,149
5656,149
7878,149
411,148
1017,148
1018,148
1019,148
1026,148
1103,148
1129,148
1216,148
1229,148
1961,148
1991,148
2626,148
6789,148
8282,148
9111,148
321,147
808,147
1008,147
1015,147
1102,147
1118,147
1201,147
1202,147
1232,147
2727,147
3456,147
7979,147
102,146
707,146
1052,146
1105,146
1206,146
1207,146
1208,146
1616,146
1953,146
1954,146
1998,146
2848,146
3131,146
121,145
147,145
316,145
1006,145
1219,145
1243,145
1942,145
2003,145
5000,145
5454,145
11,144
125,144
404,144
912,144
1107,144
1108,144
1314,144
1423,144
1951,144
1952,144
2004,144
2211,144
2233,144
2828,144
214,143
1016,143
1100,143
1106,143
1110,143
1116,143
1478,143
1950,143
1992,143
3000,143
3636,143
4242,143
8989,143
203,142
604,142
911,142
1109,142
1254,142
1321,142
1492,142
1949,142
7788,142
120,141
311,141
1256,141
1290,141
1346,141
4141,141
9,14
210,14
314,14
922,14
1369,14
1432,14
1472,14
2486,14
4862,14
83,139
213,139
510,139
625,139
1200,139
1453,139
1947,139
1948,139
110,138
204,138
313,138
326,138
412,138
711,138
722,138
908,138
923,138
1066,138
1323,138
1331,138
1776,138
2510,138
3117,138
